Product name,Price,Rating 
SAMSUNG Galaxy F12 (Sky Blue  128 GB),Rs.11499,4.2
SAMSUNG Galaxy F12 (Celestial Black  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F12 (Sky Blue  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F22 (Denim Black  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F22 (Denim Blue  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F12 (Sea Green  128 GB),Rs.11499,4.2
SAMSUNG Galaxy F22 (Denim Blue  128 GB),Rs.14999,4.3
SAMSUNG Galaxy M12 (Blue  128 GB),Rs.13366,4.2
SAMSUNG Galaxy F12 (Sea Green  64 GB),Rs.10499,4.2
SAMSUNG Guru Music 2,Rs.2160,4.3
SAMSUNG Metro 313 Dual Sim,Rs.2490,4.3
SAMSUNG GURU MUSIC 2,Rs.2075,4.4
SAMSUNG Galaxy M12 (White  64 GB),Rs.12998,4.2
SAMSUNG Galaxy M12 (Black  64 GB),Rs.11029,4.2
SAMSUNG M32 5G (Slate Black  128 GB),Rs.18768,4.2
SAMSUNG Galaxy A12 (Blue  64 GB),Rs.12099,4.2
SAMSUNG Guru Music 2,Rs.2250,4.8
SAMSUNG GURU 1200,Rs.1558,3.8
SAMSUNG Galaxy A52 (Awesome Blue  128 GB),Rs.26479,4.4
SAMSUNG Galaxy A12 (Black  64 GB),Rs.12049,4.2
SAMSUNG Galaxy F42 5G (Matte Black  128 GB),Rs.20999,4.1
SAMSUNG Galaxy M32 (Light Blue  64 GB),Rs.14680,4.2
SAMSUNG Galaxy A12 (Black  128 GB),Rs.15499,4.1
SAMSUNG Galaxy M12 (Blue  64 GB),Rs.11070,4.2
Product name,Price,Rating 
SAMSUNG Galaxy F12 (Sky Blue  128 GB),Rs.11499,4.2
SAMSUNG Galaxy F12 (Celestial Black  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F12 (Sky Blue  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F22 (Denim Black  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F22 (Denim Blue  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F12 (Sea Green  128 GB),Rs.11499,4.2
SAMSUNG Galaxy M12 (Black  64 GB),Rs.11029,4.2
SAMSUNG Galaxy M12 (Blue  128 GB),Rs.13359,4.2
SAMSUNG Galaxy F22 (Denim Blue  128 GB),Rs.14999,4.3
SAMSUNG Galaxy M12 (Blue  64 GB),Rs.11070,4.2
SAMSUNG Galaxy F12 (Sea Green  64 GB),Rs.10499,4.2
SAMSUNG Guru Music 2,Rs.2160,4.3
SAMSUNG Galaxy M12 (White  64 GB),Rs.11035,4.2
SAMSUNG Galaxy M52 5G (Icy Blue  128 GB),Rs.25399,4.3
SAMSUNG Metro 313 Dual Sim,Rs.2490,4.3
SAMSUNG Galaxy M12 (White  128 GB),Rs.13459,4.2
SAMSUNG GURU MUSIC 2,Rs.2075,4.4
SAMSUNG M32 5G (Slate Black  128 GB),Rs.18768,4.2
SAMSUNG Galaxy A12 (Blue  64 GB),Rs.12099,4.2
SAMSUNG Guru Music 2,Rs.2288,4.8
SAMSUNG GURU 1200,Rs.1558,3.8
SAMSUNG Galaxy A22 5G (Mint  128 GB),Rs.18490,4.3
SAMSUNG Galaxy A52 (Awesome Blue  128 GB),Rs.26479,4.4
SAMSUNG Galaxy A12 (Black  64 GB),Rs.12049,4.2
Product name,Price,Rating 
SAMSUNG Galaxy F12 (Sky Blue  128 GB),Rs.11499,4.2
SAMSUNG Galaxy F12 (Celestial Black  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F12 (Sky Blue  64 GB),Rs.10499,4.2
SAMSUNG Galaxy F22 (Denim Black  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F22 (Denim Blue  64 GB),Rs.12999,4.3
SAMSUNG Galaxy F12 (Sea Green  128 GB),Rs.11499,4.2
SAMSUNG Galaxy M12 (Black  64 GB),Rs.11029,4.2
SAMSUNG Galaxy M12 (Blue  128 GB),Rs.13359,4.2
SAMSUNG Galaxy F22 (Denim Blue  128 GB),Rs.14999,4.3
SAMSUNG Galaxy M12 (Blue  64 GB),Rs.11070,4.2
SAMSUNG Galaxy F12 (Sea Green  64 GB),Rs.10499,4.2
SAMSUNG Guru Music 2,Rs.2160,4.3
SAMSUNG Galaxy M12 (White  64 GB),Rs.11035,4.2
SAMSUNG Galaxy M52 5G (Icy Blue  128 GB),Rs.25399,4.3
SAMSUNG Metro 313 Dual Sim,Rs.2490,4.3
SAMSUNG Galaxy M12 (White  128 GB),Rs.13459,4.2
SAMSUNG GURU MUSIC 2,Rs.2075,4.4
SAMSUNG M32 5G (Slate Black  128 GB),Rs.18768,4.2
